street	intersections	agencies	number_violations
1 AVE		P	8
1 AVENUE		S|P	465
1 PL		P	14
1 PLACE		P|S	65
1 STREET	whitwell|whitwell st	S|P	174
10 AVE		P	52
10 AVENUE		S|P	190
10 ST		P	5
10 STREET		P|S	765
100 ST	ave n	P	7
100 STREET		P|S	44
100th St	n/of 4th ave|e/of 4th ave|w/of fort hamilt|w/of 4th ave|w/of 3rd ave|w/of ralph ave|e/of 3rd ave	T	248
101 AVENUE		S	20
101 STREET		P|S	19
101st Ave	e/of 48th st|n/of foster av|w/of w 13th st	T	9
101st St	e/of 3rd ave|n/of fort hamil|e/of 4th ave|s/of conklin ave|s/of 4th ave|w/of 4th ave	T	117
10th Ave	s/of 39th st|s/of 42nd st|n/of 39th st|n/of 48th st|n/of 42nd st|e/of 45th st|n/of 41st st|e/of 19th st|w/of 38th st|s/of 59th st|n/of 60th st|s/of 51st st|e/of 60th st|s/of new utrech|4 feets from 40th st|e/of 50th st|e/of 39th st|n/of 40th st|n/of 52nd st|w/of 17th st|s/of 23rd st|s/of 45th st|s/of 50th st|s/of 48th st|n/of 51st st|s/of 41st st|e/of 41st st|s/of sherman st|w/of 13th ave|w/of 40th st|s/of prospect|s/of 43rd st|e/of 51st st|s/of e 45th st|n/of 46th st|e/of 44th st|s/of 40th st|e/of 43rd st|w/of 45th st|n/of 43rd st|n/of 45th st|w/of 48th st|e/of 61st st|e/of 40th st|n/of 61st st|n/of windsor pl|w/of new utrech|w/of 39th st|n/of 101st ave|w/of new utrecht|n/of 50th st|s/of 17th st|s/of 19th st|w/of 50th st	T	988
10TH AVE	20 st	P	15
10th St	n/of prospect p|e/of 8th ave|s/of 5th ave|s/of prospect p|s/of avenue j|n/of 7th ave|n/of 6th ave|e/of 5th ave|n/of 5th ave|e/of 3rd ave|e/of 7th ave|w/of 3rd ave|w/of 8th ave|w/of 5th ave|w/of prospect p|e/of 4th ave|n/of 2nd ave|w/of 7th ave|e/of 3rd st|e/of 6th ave|e/of prospect p|e/of 2nd ave|w/of 6th ave|n/of avenue k|n/of 8th ave|s/of 7th ave	T	1526
10TH STREET	2 ave	P	5
11 AVE	45 st	P	44
11 AVENUE		S|P	463
11 ST	5th ave	P	6
11 STREET		S|P	304
11th Ave	s/of 85th st|s/of 61st st|w/of prospect p|n/of 49th st|n/of 54th st|w/of 61st st|s/of sherman st|n/of 59th st|s/of 47th st|n/of sherman st|n/of 68th st|e/of 70th st|n/of 70th st|s/of bay ridge|w/of 85th st|s/of 70th st|s/of 52nd st|n/of 46th st|n/of 50th st|n/of 53rd st|s/of 77th st|w/of 84th st|s/of 83rd st|n/of 48th st|w/of 82nd st|w/of 65th st|n/of 66th st|n/of 81st st|n/of 60th st|e/of windsor pl|s/of 56th st|s/of prospect a|s/of 72nd st|e/of 85th st|n/of 73rd st|w/of 18th st|n/of 62nd st|w/of 5th ave|n/of 74th st|n/of 61st st|n/of 57th st|s/of 60th st|n/of 71st st|n/of 65th st|s/of 71st st|n/of 5th ave|s/of 73rd st|w/of bay ridge|n/of 18th st	T	1037
11TH AVE		P	11
11th St	n/of lawn ct|e/of 5th ave|w/of 3rd ave|s/of 6th ave|e/of 6th ave|s/of 5th ave|n/of 6th ave|n/of prospect p|w/of 5th ave|e/of 7th ave|w/of 7th ave|w/of 6th ave|353|e/of 4th ave|n/of 5th ave|s/of 7th ave|w/of prospect pa|n/of 7th ave|e/of 3rd ave|e/of 2nd ave|w/of prospect p|w/of 4th ave|n/of 8th ave|s/of prospect pa	T	1484
11TH STREET		P	4
12 AVE		P	68
12 AVENUE		S|P	260
12 ST		P	8
12 STREET		S|P	69
12th Ave	n/of 37th st|e/of chester a|w/of 45th st|n/of bay ridge|s/of 65th st|s/of 49th st|n/of ovington av|e/of 64th st|e/of chester ave|w/of 64th st|e/of 38th st|s/of 45th st|s/of 64th st|e/of 56th st|s/of 38th st|w/of bay ridge|n/of 48th st|w/of 41st st|s/of 71st st|w/of 85th st|e/of 46th st|n/of 56th st|s/of 77th st|n/of 40th st|s/of 47th st|s/of 63rd st|e/of 41st st|n/of 39th st|s/of 46th st|n/of 49th st|w/of dahill rd|s/of 37th st|w/of 50th st|n/of new utrecht|s/of 44th st|e/of bay ridge|n/of 59th st|w/of ovington a|s/of 73rd st|e/of 48th st|w/of 40th st|w/of 47th st|s/of dahill rd|e/of 40th st|s/of 60th st|e/of chester av|e/of 36th st|s/of 36th st|n/of 43rd st|n/of 84th st|n/of 64th st|s/of 85th st|s/of 40th st|e/of 37th st|s/of new utrecht|s/of 50th st|n/of 41st st|w/of ovington av|n/of 38th st|n/of 47th st|e/of 65th st|s/of ovington a|n/of 65th st|e/of ovington a|w/of 37th st|n/of 60th st|n/of 36th st|s/of bay ridge|e/of 39th st|e/of 77th st|e/of 45th st|w/of 39th st|w/of 77th st|w/of 65th st|s/of 39th st|n/of 52nd st|w/of 62nd st|n/of 86th st|s/of 54th st|n/of 66th st|n/of 45th st|w/of 53rd st	T	1747
12TH AVE		P	13
12TH AVENUE		P	4
12th St	e/of 8th ave|w/of 4th ave|w/of 7th ave|s/of 8th ave|e/of 15th ave|n/of 7th ave|s/of 5th ave|w/of 50th st|n/of 8th ave|e/of 4th ave|w/of 8th ave|e/of 5th ave|w/of 5th ave|e/of 7th ave|n/of 4th ave|s/of 7th ave|w/of 3rd ave|n/of 5th ave|w/of 6th ave|w/of prospect p|s/of avenue p|n/of prospect p	T	1447
12TH STREET		P	6
13 AVE		P	20
13 AVENUE		P|S	704
13 ST		P	19
13 STREET		S|P	114
13th Ave	n/of 37th st|w/of 41st st|s/of 48th st|n/of 53rd st|s/of 37th st|n/of 42nd st|e/of 38th st|n/of 57th st|e/of 70th st|s/of 64th st|s/of 38th st|n/of 40th st|s/of 43rd st|s/of 56th st|e/of 64th st|e/of 48th st|e/of 61st st|n/of 86th st|e/of 51st st|s/of 40th st|s/of 71st st|w/of 83rd st|w/of 47th st|w/of ovington av|n/of bay ridge a|w/of 42nd st|e/of 44th st|e/of 43rd st|e/of 47th st|w/of 50th st|s/of 58th st|s/of 49th st|s/of 51st st|n/of 54th st|n/of 78th st|s/of 53rd st|n/of 51st st|e/of 37th st|n/of 62nd st|n/of 41st st|w/of 51st st|n/of 43rd st|n/of 50th st|s/of 52nd st|n/of 56th st|s/of 47th st|w/of 46th st|s/of 44th st|s/of 46th st|w/of 49th st|s/of 60th st|s/of 42nd st|e/of 46th st|e/of 52nd st|n/of 47th st|e/of 39th st|s/of 82nd st|e/of 57th st|s/of 39th st|e/of 53rd st|n/of 44th st|s/of 61st st|e/of 62nd st|w/of 45th st|e/of 6th ave|w/of 61st st|e/of 40th st|w/of 39th st|n/of 85th st|s/of 41st st|w/of 48th st|e/of 42nd st|s/of 62nd st|n/of 60th st|w/of 54th st|e/of 41st st|n/of 46th st|s/of 50th st|s/of 57th st|e/of 49th st|n/of 58th st|s/of 45th st|n/of 39th st|w/of 40th st|s/of 54th st|n/of 45th st|w/of 37th st|s/of 80th st|w/of 44th st|e/of 36th st|s/of 55th st|s/of 36th st|n/of 38th st|n/of 61st st|n/of 48th st|w/of 38th st|w/of 36th st|e/of 86th st|w/of 85th st|n/of 49th st|n/of ovington av|s/of 63rd st	T	11087
13TH AVE		P	9
13th St	e/of 8th ave|w/of prospect p|n/of 5th ave|s/of 6th ave|east|e/of prospect p|n/of 7th ave|e/of 4th ave|w/of 5th ave|w/of kent ave|w/of 3rd ave|w/of 7th ave|w/of 8th ave|w/of 62nd st|s/of 5th ave|n/of prospect p|w/of 2nd ave|n/of avenue v|w/of 6th ave|e/of 2nd ave|s/of 3rd ave|e/of 95th ave|e/of 5th ave|e/of 3rd ave|e/of 6th ave|e/of kent ave|w/of 4th ave|n/of 3rd ave|s/of avenue u|e/of 7th ave|w/of prospect pa|s/of 8th ave|w/of 14th st	T	1647
13TH ST		P	5
13TH STREET		P	10
14 AVE		P	57
14 AVENUE		S|P	590
14 ST		P	9
14 STREET		P|S	131
14th Ave	s/of 51st st|n/of 59th st|n/of 37th st|s/of 61st st|n/of 39th st|e/of 36th st|n/of 50th st|e/of 38th st|n/of 42nd st|n/of 53rd st|n/of 47th st|e/of 39th st|w/of 42nd st|s/of 52nd st|n/of 71st st|s/of 44th st|n/of 51st st|s/of 37th st|w/of 35th st|w/of 55th st|w/of 47th st|w/of shore pky|e/of 46th st|n/of crosby ave|e/of 50th st|w/of 6th ave|s/of 49th st|n/of 38th st|s/of 64th st|w/of new utrech|w/of 67th st|e/of 40th st|s/of 48th st|e/of 48th st|e/of 41st st|s/of 38th st|w/of benson ave|w/of 46th st|w/of 66th st|n/of 52nd st|n/of 40th st|s/of 36th st|e/of 49th st|e/of 86th st|w/of benson av|s/of 71st st|w/of 37th st|w/of 50th st|n/of 41st st|w/of 36th st|n/of 36th st|s/of 56th st|e/of 67th st|s/of 55th st|s/of 67th st|e/of 13th ave|w/of 72nd st|n/of 48th st|s/of 41st st|s/of 59th st|w/of prospect p|w/of 39th st|s/of old new ut|s/of 45th st|w/of 52nd st|n/of 44th st|s/of 43rd st|n/of 55th st|e/of 52nd st|w/of 71st st|w/of 78th st|e/of new utrech|w/of 57th st|e/of 55th st|n/of 72nd st|e/of ovington a|s/of benson ave|w/of 56th st|e/of 71st st|w/of 51st st|s/of 35th st|e/of 47th st|n/of 43rd st|e/of 51st st|s/of 47th st|n/of 67th st|s/of 46th st|n/of 45th st|n/of cropsey a|s/of 39th st|w/of 40th st|s/of 78th st|s/of 50th st|w/of 43rd st|e/of 59th st|n/of 60th st|w/of 61st st|w/of 63rd st|s/of 42nd st|s/of 40th st|w/of 59th st|n/of 46th st|s/of benson av|e/of 37th st|w/of 49th st|n/of 83rd st|w/of ovington a|n/of 74th st|n/of 80th st|e/of 35th st|s/of 63rd st|n/of 86th st	T	4473
14TH AVE		P	13
14th St	w/of 7th ave|w/of 5th ave|s/of prospect p|n/of prospect p|w/of 37th st|n/of 5th ave|w/of 47th st|n/of 8th ave|s/of 8th ave|n/of s elliott|s/of 7th ave|w/of 49th st|n/of 39th st|e/of 4th ave|w/of prospect p|e/of 5th ave|e/of 8th ave|w/of 4th ave|w/of prospect|n/of 4th ave|n/of 7th ave|e/of 2nd ave|w/of 6th ave|w/of 8th ave|e/of 6th ave|e/of prospect p|s/of 4th ave|s/of prospect|n/of 6th ave	T	1563
14TH ST		P	4
14TH STREET		P	10
15 AVE	45 st	P	42
15 AVENUE		S|P	295
15 ST	i/o ppw	P	8
15 STREET		S|P	315
15th Ave	e/of 40th st|s/of 45th st|n/of 43rd st|s/of 43rd st|w/of 49th st|w/of 37th st|s/of dahill rd|e/of 52nd st|s/of 54th st|n/of 38th st|e/of 44th st|w/of 83rd st|w/of 42nd st|n/of 44th st|s/of 62nd st|s/of 37th st|n/of 85th st|s/of bath ave|n/of 45th st|n/of 55th st|n/of 74th st|n/of 73rd st|w/of 36th st|s/of 67th st|n/of 51st st|w/of bath ave|s/of 56th st|n/of 83rd st|s/of cropsey av|s/of 48th st|s/of 86th st|e/of 73rd st|n/of 67th st|n/of 48th st|n/of 52nd st|e/of new utrech|n/of 39th st|w/of 54th st|w/of dahill rd|n/of dahill rd|s/of 42nd st|s/of 55th st|e/of 43rd st|n/of 70th st|n/of 86th st|7421|e/of 53rd st|w/of 63rd st|e/of new utrecht|e/of 46th st|w/of 59th st|n/of 54th st|w/of 5th ave|s/of 72nd st|e/of 38th st|n/of 61st st|w/of 64th st|n/of 40th st|w/of 39th st|w/of 40th st|s/of 40th st|e/of 14th ave|s/of 39th st|s/of 44th st|n/of 62nd st|e/of dahill rd|n/of 49th st|s/of 83rd st|s/of 61st st|s/of ovington av|e/of 54th st|s/of 51st st|s/of 53rd st|w/of avenue t	T	1398
15TH AVE	81 street	P	14
15th St	w/of prospect p|w/of 4th ave|w/of 5th ave|w/of 6th ave|w/of 3rd ave|e/of 4th ave|n/of 4th ave|e/of 7th ave|e/of 5th ave|s/of 8th ave|s/of avenue m|w/of hoyt st|e/of wythe ave|s/of 4th ave|e/of 3rd ave|n/of 8th ave|s/of 7th ave|w/of 8th ave|e/of 6th ave|n/of 5th ave|w/of prospect pa	T	1369
16 AVE		P|S	85
16 AVENUE		S|P	451
16 ST		P	14
16 STREET		S|P	284
16th Ave	n/of 41st st|n/of 51st st|w/of 63rd st|s/of 51st st|s/of 70th st|s/of 50th st|w/of 54th st|w/of 46th st|n/of 45th st|s/of 54th st|n/of 54th st|w/of 48th st|e/of 41st st|w/of 81st st|n/of 81st st|n/of 61st st|e/of 54th st|w/of 74th st|w/of 50th st|e/of 49th st|s/of 44th st|w/of 49th st|w/of 84th st|w/of 45th st|w/of 53rd st|n/of 49th st|s/of 84th st|w/of 41st st|n/of shore pky|n/of 48th st|e/of 48th st|s/of 76th st|s/of 47th st|e/of benson ave|s/of 52nd st|e/of 71st st|n/of 53rd st|e/of 44th st|n/of 72nd st|n/of 44th st|n/of 84th st|n/of 82nd st|w/of 44th st|s/of 7th ave|n/of 86th st|w/of 73rd st|s/of dahill rd|n/of 50th st|w/of benson ave|s/of 42nd st|s/of 48th st|s/of 83rd st|n/of benson ave|s/of 61st st|s/of benson ave|n/of 85th st|s/of 74th st|w/of 40th st|s/of 85th st|w/of dahill rd|s/of 86th st|w/of bay ridge p|e/of 47th st|n/of dahill rd|s/of 73rd st|s/of 46th st|s/of 53rd st|n/of 63rd st|n/of 46th st|n/of 43rd st|e/of 74th st|n/of 71st st|s/of 49th st|n/of 73rd st|s/of shore pky	T	2458
16TH AVE		P	26
16TH AVENUE		P	5
