street	intersections	agencies	number_violations
11th Ave	s/of w 235th s|w/of e tremont a	T	4
13th Ave	s/of e 156th st	T	6
157th St	w/of 3rd ave|e/of brook ave|s/of 3rd ave|e/of elton ave|e/of 3rd ave|e/of river ave|w/of walton ave|w/of brook ave|w/of elton ave|e/of gerard ave|e/of courtlandt	T	158
161 ST	river|gerard ave	P	4
163 ST	woodycrest ave|woodycrest|tiffany st|fox st	P	9
165 ST	faile st|kelly street|90 w	P	4
165th Street Steps	e/of teller ave|e/of washington	T	11
167 ST	walton|sedwick|sedgwick ave	P	4
172ND ST	elder ave	P	5
176 ST	marion|arthur ave	P	4
180 ST	grand concourse|mapes ave|park ave	P	7
202 ST		P	4
214 ST	holland ave	P	4
225 ST	broadway	P	4
226th Dr	w/of schiefflin|w/of carpenter|w/of white plai|w/of schieffel	T	58
229 DR N		P	11
229 DR S		P	32
229 STREET		P	4
229TH DR N		P	12
229TH DR S		P	22
229TH DRIVE SOUTH		P	7
229TH ST		P	8
229TH STREET		P	8
230 ST		P	4
232 ST	kingsbridge ave	P	5
242 STREET	broadway	P	4
3 AVE		P|T	74
3 AVENUE	3 avenue bridge	S|P	2733
3462 Third Ave		S	4
