street	intersections	agencies	number_violations
1 STREET	27 av	P	7
10 AVE	115 st	P	11
10 ST		P	24
10 STREET	10 ave|vernon blvd|40 avenue	P|S	52
100 AVE	84 street	P	21
100 ST	41 ave	P	121
100 STREET	160 ave	P|S	195
100th Ave	w/of 207th st|s/of 99th ave|w/of 218th st|e/of 197th st|e/of 202nd st|e/of 131st st|e/of 201st st|e/of 194th st|e/of 217th st|w/of 222nd st|e/of springfiel|w/of 200th st|e/of 196th st|w/of 205th st|e/of 205th st|e/of 200th st	T	292
100th Dr	w/of cross isla|e/of 220th st	T	31
100th Rd		T	4
