street	intersections	agencies	number_violations
10th St	n/of princeton a|w/of new dorp|w/of rose ave|e/of new dorp l|s/of new dorp l|w/of new dorp l|w/of tysens ln	T	55
1107 Goethals Rd Nor	th	S	4
1st St		T	28
2nd St	e/of amboy rd|w/of rose ave|s/of new dorp l|w/of new dorp l	T	42
3rd St	w/of burbank ave|e/of cloister p|w/of new dorp l|e/of burbank a|w/of beach ave|s/of cloister p|s/of rose ave	T	94
4th St	e/of rose ave|w/of new dorp l|w/of rose ave|w/of new dorp ln|e/of new dorp l	T	34
7th St		T	4
8TH AVE		P	4
8th St	n/of penn ave|n/of new dorp l|s/of new dorp l|w/of new dorp l|e/of new dorp l|w/of new dorp|w/of new dorp ln|e/of rose ave|s/of new dorp|e/of tysens ln	T	284
9th St	e/of new dorp l|n/of new dorp l|e/of new dorp ln|w/of new dorp l|e/of rose ave|s/of new dorp l|w/of new dorp ln|w/of new dorp|w/of rose ave	T	216
Abbott St	s/of scarboro a|n/of scarboro av|w/of scarboro a|e/of scarboro a|s/of scarboro av	T	36
Abby Pl	e/of hunter pl	T	5
Abingdon Ave	w/of genesee av|s/of lamoka ave|e/of lamoka ave	T	104
ABINGDON AVE		P	6
Acacia Ave	n/of oakdale st|s/of yetman ave	T	16
Academy Ave	n/of yetman ave|s/of yetman ave	T	13
Academy Pl	e/of page ave|w/of page ave|w/of hamilton a|s/of hamilton av|e/of hamilton a|s/of hamilton a|s/of hamilton	T	33
ACADEMY PL	wall st|wall street	P	7
Ackerman St	s/of cleveland	T	8
Acorn St	w/of debbie st	T	17
Ada Dr	n/of farragut av|w/of richmond a|s/of farragut av|w/of farragut av|e/of farragut av|w/of arlene ct	T	201
ADA DR	lenore ct	P	15
ADA DRIVE		P|S	21
Ada Pl	s/of howard ave	T	5
Adams Ave	w/of laconia ave|e/of laconia av|n/of laconia ave|e/of hylan blvd|n/of laconia av|w/of laconia av|s/of hylan blvd	T	132
Adelaide Ave		T	21
Adele St	n/of evergreen|e/of evergreen|w/of evergreen	T	15
Adlai Cir		T	4
Adrienne Pl	s/of hillside t|n/of hillside t|e/of hillside te	T	11
Agnes Pl	w/of mclaughli|n/of mclaughlin	T	16
Ainsworth Ave	n/of maybury ave|w/of shepard av|e/of maybury ct|s/of maybury av|s/of hylan blvd|e/of maybury av|s/of greencroft|e/of greencroft|w/of greencroft	T	31
Akron St	n/of christoph|e/of christophe|s/of richmond av|e/of richmond a|w/of richmond a|w/of debbie st|s/of richmond a|w/of jennifer p|e/of jennifer p|e/of debbie st|w/of saybrook s|e/of richmond|s/of debbie st|n/of saybrook st	T	67
Alaska St	e/of henderson|n/of castleton a|s/of castleton|n/of castleton|s/of castleton a	T	172
Albee Ave	e/of s railroad	T	10
Albert Ct	n/of woodcrest r|n/of rosecliff r|e/of woodcrest r	T	44
ALBERT CT		P	5
Albert St	e/of victory bl	T	7
ALBERTA AVE		P	5
Alberta Ave	e/of victory blv|w/of victory blv|s/of victory bl|dean av|w/of victory bl|e/of victory bl|s/of victory blv|n/of victory bl	T	64
Albion Pl	w/of heberton av|w/of port richmo|e/of port richm|e/of heberton av|e/of richmond a	T	146
Albourne Ave	n/of foster rd|w/of foster rd|s/of foster rd|e/of foster rd	T	74
Albright St		T	24
Alcott St	s/of bunnell ct|n/of bunnell ct	T	6
Alexander Ave	e/of heberton a|n/of woehrle ave	T	80
ALEXANDER AVE		P	6
Algonkin St		T	11
Allen Ct	w/of elizabeth	T	25
Allen Pl	n/of hylan blvd|w/of hylan blvd	T	21
Allendale Rd	e/of beverly rd	T	7
Allentown Ln	e/of arthur kil|w/of arthur kil	T	5
Allison Ave	n/of hylan blvd|w/of hylan blvd	T	53
Allison Pl		T	5
Almond St	w/of woodrow rd	T	17
Alpine Ave		T	4
Alpine Ct	e/of brookside	T	5
Alter Ave	e/of hylan blvd|n/of hylan blvd|s/of hylan blvd|w/of mason ave|n/of mason ave|w/of hylan blv|w/of hylan blvd|n/of laconia ave|w/of jefferson|s/of laconia ave|e/of mason ave	T	236
ALTER AVE		P	4
Alverson Ave	s/of correll av|s/of correll ave|s/of morris st|w/of morris st|e/of morris st	T	107
Alverson Loop		T	9
Alvine Ave		T	7
Alysia Ct	n/of bloomingda	T	12
AMADOR ST		P	11
Amador St	e/of south ave	T	129
Amber St	n/of amboy rd	T	56
AMBOY RD	fisher ave|seguine	P	18
Amboy Rd	e/of chisholm s|e/of keats st|w/of luten ave|e/of penton st|w/of chisholm s|s/of rose ln|e/of chisholm|n/of penton st|w/of sharrott a|w/of may pl|n/of e broadway|s/of chelsea st	T	504
AMBOY ROAD		S|P	5
Amelia Ct		T	32
Amherst Ave		T	49
Amity Pl	n/of forest ave|e/of amador st|n/of ludwig ln|n/of amador st|s/of ludwig ln|s/of wilcox st|s/of lisk ave|e/of forest ave|s/of forest ave|w/of amador st|e/of lisk ave|s/of amador st|w/of ludwig ln|w/of forest ave|e/of ludwig ln	T	231
Amity St	w/of lisk ave|e/of ludwig ln	T	7
Amsterdam Ave		T	53
Amsterdam Pl	w/of richmond a	T	18
Amy Ct		T	4
Anaconda St		T	15
