LawTitle,AdjCode,LawCode,Description,CyclistFlag
NYCTRR,413,4-13,OPERATE TRUCK OFF AUTHORIZED RTE,N
VTL,416,416,OPERATE VEHICLE WITH DEALER PLATES MORE THAN 5 DAYS,N
VTL,601,601,LEAVE SCENE OF INCIDENT - DOMESTIC ANIMAL STRUCK AND INJURED,N
VTL,1102,1102,FAILED TO COMPLY WITH LAWFUL ORDER,N
VTL,1117,1117,FAILED TO STOP AT MALFUNCTIONING TRAFFIC LIGHT,N
VTL,1121,1121,FAILED TO GIVE ONE HALF OF ROADWAY,N
VTL,1124,1124,INTERFERED WITH SAFE OPERATION,N
VTL,1131,1131,DRIVING ON SHOULDER/LIMITED ACCESS HGWY,N
VTL,1141,1141,FAILED TO YIELD RIGHT-OF-WAY ON LEFT TURN,N
VTL,1143,1143,FAILED TO YIELD RIGHT-OF-WAY WHEN ENTERING ROADWAY,N
VTL,1145,1145,FAILED TO YIELD RIGHT-OF-WAY AT TRAFFIC CIRCLE,N
VTL,1146,1146(a),FAILED TO USE DUE CARE BICYCLE/PEDESTRIAN/ANIMAL,N
VTL,1162,1162,UNSAFE STARTING,N
VTL,1165,1165,IMPROPER HAND SIGNAL,N
VTL,1173,1173,FAILED TO STOP FROM ALLEY/DRIVEWAY/PRIVATE ROAD AS REQUIRED,N
VTL,1175,1175,OBSTRUCTING INTERSECTION,N
VTL,1176,1176,OBSTRUCTING RAILROAD CROSSING,N
VTL,1214,1214,OPENED DOOR UNSAFELY,N
VTL,1221,1221,DRIVING THRU SAFETY ZONE,N
VTL,1225,1225,AVOIDING TRAFFIC DEVICE OR INTERSECTION,N
VTL,1226,1226,NO HANDS ON WHEEL OR STEERING DEVICE,N
VTL,1235,1235,CARRYING ARTICLES ON BIKE OR SKATEBOARD,Y
VTL,1235E,1235,CARRYING ARTICLES ON E-BIKE,N
VTL,1238,1238,NO CHILD BICYCLE HELMET,Y
VTL,1456,145(6),UNAUTHORIZED USE OF A FOR HIRE VEHICLE,N
VTL,2501,250(1),UNREGISTERED MOTOR VEHICLE - NON-RESIDENT,N
VTL,2502,250(2),NON-RESIDENT OPERATING MOTOR VEHICLE WITHOUT A LICENSE,N
VTL,3753,375(3),FAILED TO DIM HEADLAMPS,N
VTL,3754,375(4),FAULTY/UNAPPROVED HEADLIGHT,N
VTL,3759,375(9),NO FIRE EXTINGUISHER - OMNIBUS 10 PASS,N
VTL,3762,376(2),INSUFFICIENT WIRING-COMMERICAL VEHICLE,N
VTL,3763,376(3),UNAPPROVED LIGHTS/SIGNALS/REFLECTORS,N
VTL,3812,381(2),UNAPPROVED HEADLAMPS - MOTORCYCLE,N
VTL,3813,381(3),UNAUTHORIZED COLORED LIGHTS - MOTORCYCLE,N
VTL,3814,381(4),INADEQUATE/NO REAR REFLECTOR - MOTORCYCLE,N
VTL,3815,381(5),IMPROPER HANDLEBARS- MOTORCYCLE,N
VTL,3816,381(6),UNAPPROVED/NO PROTECTIVE HELMET MOTORCYCLE,N
VTL,3817,381(7),UNAPPROVED/NO FACE SHIELD/GOGGLES- MOTORCYCLE,N
VTL,3818,381(8),UNAPPROVED/NO WINDSCREEN- MOTORCYCLE,N
VTL,3852,385(2),OVERHEIGHT VEHICLE (13.5 FEET),N
VTL,3856,385(6),OVERLOAD ON SINGLE TIRE,N
VTL,3858,385(8),OVERLOAD ON AXLE,N
VTL,3859,385(9),OVERLOAD ON CONSECUTIVE AXLES,N
VTL,3961,396(1),UNAUTHORIZED FEDERAL/STATE/MUNICIPAL SHIELD LETTERING,N
VTL,3962,396(2),UNAUTHORIZED POLICE SHIELD/SEAL LETTERING,N
VTL,3963,396(3),UNAUTHORIZED FIRE DEPT/SHIELD/SEAL LETTER,N
VTL,4013,401(3),FAILED TO CHANGE ADDRESS ON REGISTRATION,N
VTL,4017,401(7),IMPROPER USE/AGRICULTURAL TRUCK,N
VTL,4021A,402(1)(a),NO LICENSE PLATE OR SINGLE LICENSE PLATE,N
VTL,4021B1,402(1)(b)(i),DIRTY PLATE OR PLATE COVERED BY GLASS OR PLASTIC,N
VTL,4021B2,402(1)(b)(ii),PLATE KNOWINGLY COVERED WITH INTENT TO OBSCURE,N
VTL,4021B3,402(1)(b)(iii),PLATE OBSCURED BY VEHICLE OR ANYTHING CARRIED THEREON,N
VTL,4022,402(2),PLATES NOT ISSUED BY COMMISSIONER,N
VTL,4023,402(3),UNREGISTERED TRAILER,N
VTL,4024,402(4),IMPROPER PLATES,N
VTL,4025,402(5),PERMITTING USE OF IMPROPER PLATES,N
VTL,4026,402(6),PERMITTING USE IN VIOLATION OF PROVISION SECTION 402,N
VTL,4031,403(1),NO/IMPROPERLY AFFIXED REGISTRATION STICKER,N
VTL,4101,410(1),UNREGISTERED MOTORCYCLE,N
VTL,4111,411(1),NO MOTORCYCLE PLATE,N
VTL,4112,411(2),PLATES FROM MORE THAN 1 STATE/NOT ISSUED BY NYS - MOTORCYCLE,N
VTL,4113,411(3),IMPROPER PLATES MOTORCYCLE,N
VTL,4114,411(4),PERMITTING IMPROPER USE OF PLATES ON A MOTORCYCLE,N
VTL,4158,415(8),MISUSE OF DEALER/TRANSPORTER PLATES,N
VTL,4201,420(1),FAILED TO REMOVE PLATES ON TRANSFER,N
VTL,5051,505(1),MUTILATED LICENSE,N
VTL,5055,505(5),FAILURE TO CHANGE ADDRESS ON LICENSE,N
VTL,5091,509(1),UNLICENSED OPERATOR,N
VTL,5092,509(2),OPERATING OUT OF CLASS,N
VTL,5093,509(3),OPERATING IN VIOLATION OF RESTRICTIONS,N
VTL,5094,509(4),PERMITTING UNLICENSED OPERATION,N
VTL,5095,509(5),HOLDING MORE THAN 1 NYS LICENSE,N
VTL,5096,509(6),USING ANOTHERS LICENSE,N
VTL,5097,509(7),OPERATING CMV WITHOUT CDL,N
VTL,5098,509(8),FAILED TO NOTIFY DMV CHANGE OF ADDRESS,N
VTL,5099,509(9),OPERATING WITHOUT FILING NOTICE/DISABILITY,N
VTL,5306,530(6),VIOLATION OF RESTRICTED LICENSE,N
VTL,5511,551(1),ESCORTING WITHOUT CERTIFICATE,N
TBTA,10208,1020.8,FAILED TO OBEY SIGNS,N
TBTA,10212,1021.2,OVERSIZE/WEIGHT VEHICLES,N
TBTA,10231,1023.1,CARELESS/NEGLIGENT OPERATION,N
TBTA,10237,1023.7,EVASION OF TOLL,N
VTL,11301,1130(1),DRIVING OVER DIVIDING SPACE,N
VTL,11302,1130(2),ENTERING EXIT RAMP OF A CONTINUOUS ACCESS HIGHWAY,N
VTL,11967,1196(7)(f),OPERATING IN VIOLATION OF CONDITIONAL LICENSE,N
VTL,12221,1222(1),NO OPERATION UNLESS SEATS SECURE - AUTO TRUCK,N
VTL,12271,1227(1),CONSUMPTION OF ALCOHOL IN MOTOR VEHICLE,N
VTL,12271Z,1227(1),CONSUMPTION OF CANNABIS IN A MOTOR VEHICLE,N
VTL,12331,1233(1),RIDER/SKATER CLINGING TO MOVING MOTOR VEHICLE,Y
VTL,12332,1233(2),ATTACHING SELF TO MOVING MOTOR VEHICLE,Y
VTL,12333,1233(3),PERMITTING CLINGING TO MOTOR VEHICLE,N
VTL,22611,2261(1),UNREGISTERED LIMITED USE VEHICLE,N
VTL,22623,2262(3),LIMITED USE VEHICLE DRIVEN IN UNAUTHORIZED AREA,N
VTL,22641,2264(1),FAILED TO DISPLAY NUMBER PLATES,N
